"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"160","summerised","500","-1","3","1","2","-4.5368197075358","6.90588949544512","5.53784712818382","2.04840363294914","0.0279966075919433","0.0219798684251622","0.794","0.384","0.014","0.96"
"161","all data","500","-1","3","2","1","-0.585953145114969","3.56255824173386","2.98357404445594","1.02513010579325","0.0147942278883366","0.0117010867428122","0.832","0.42","0.014","0.946"
"162","summerised","500","-1","3","2","1","-0.584385117070269","3.56367920356828","2.9834474593863","1.02510932399375","0.0145526079510421","0.0117005748097732","0.832","0.414","0.022","0.974"
"163","all data","500","-0.5","-3","0","0","-0.0610020410885991","1.99390803374401","2.05551269456385","0.142293431702351","4.65681509329096","4.73773786577599","0.962","0.96","0","0.978"
"164","summerised","500","-0.5","-3","0","0","-0.0606833355466138","1.99322350049038","2.05533377155651","0.141323177855539","4.65593832693735","4.73732227919776","0.962","0.96","0","0.984"
"165","all data","500","-0.5","-3","1","2","0.990202385838522","2.00602745930719","2.03914161563516","1.96029397432607","4.50807791378639","4.69824611547362","0.938","0.962","0","0.982"
"166","summerised","500","-0.5","-3","1","2","0.990092941411483","2.00508701523132","2.03917649107617","1.96037057715056","4.50569490268098","4.69833215935254","0.938","0.962","0","0.984"
"167","all data","500","-0.5","-3","2","1","1.97628651321009","2.06292416811593","2.03934133653702","0.990359182103545","4.90072543485298","4.70237205566981","0.942","0.934","0","0.982"
"168","summerised","500","-0.5","-3","2","1","1.97683250699571","2.06288288442795","2.03935134124177","0.988907714413636","4.89982150537171","4.70238994944507","0.942","0.934","0","0.984"
"169","all data","500","-0.5","-2","0","0","-0.0907662425253273","3.05957940988992","3.08653268822905","0.190671100598957","3.86322141083513","3.85596030714384","0.962","0.958","0.002","0.984"
"170","summerised","500","-0.5","-2","0","0","-0.0911341707633369","3.05945534547844","3.08584381555504","0.190889734748864","3.86267567314844","3.85509622730523","0.962","0.958","0.002","0.994"
"171","all data","500","-0.5","-2","1","2","1.00451312690266","3.12914002035426","3.07932324362083","1.92020212222398","3.93554675637465","3.84517440881075","0.938","0.934","0.004","0.978"
"172","summerised","500","-0.5","-2","1","2","1.0043620193767","3.12769861693375","3.07890130687523","1.9201515283725","3.93387807338981","3.84464503098882","0.938","0.934","0.004","0.98"
"173","all data","500","-0.5","-2","2","1","1.99000857101003","3.0980417698726","3.08368781431616","0.94354799581009","3.99016184487575","3.85091243798035","0.942","0.936","0.008","0.978"
"174","summerised","500","-0.5","-2","2","1","1.98960037566913","3.09517874119922","3.08275955417517","0.942985666523626","3.98668166324744","3.84975433384838","0.942","0.936","0.008","0.978"
"175","all data","500","-0.5","-1","0","0","0.549931323998814","8.04110099503425","8.30274273086666","-0.466943976451425","7.02165462118405","7.19769244891397","0.954","0.954","0.014","0.98"
"176","summerised","500","-0.5","-1","0","0","0.551160853295616","8.03842431841401","8.30063519167722","-0.468050999296839","7.01925923802833","7.19586520451409","0.954","0.954","0.014","0.994"
"177","all data","500","-0.5","-1","1","2","1.51557818396429","8.97457521860252","8.37962989001893","1.5391054453941","7.79262156644047","7.26271433013387","0.944","0.94","0.008","0.988"
"178","summerised","500","-0.5","-1","1","2","1.51616268132727","8.97625224038279","8.37996945638072","1.53869019775898","7.79398859033458","7.263005502428","0.944","0.94","0.008","0.992"
"179","all data","500","-0.5","-1","2","1","1.72415218018086","8.77233051332296","8.39187275461002","1.17634935225258","7.63809100573388","7.27255803414279","0.934","0.94","0.006","0.97"
"180","summerised","500","-0.5","-1","2","1","1.72859112163728","8.77189634966387","8.39032911844364","1.17201197474668","7.63645066033637","7.27121428637102","0.934","0.94","0.008","0.982"
"181","all data","500","-0.5","-0.5","0","0","0.0261157090860814","3.82319179274616","3.57120908224181","0.0438208655351349","4.20375584414303","3.95384655087444","0.922","0.916","0.024","0.982"
"182","summerised","500","-0.5","-0.5","0","0","0.025474054702175","3.82210068648687","3.57106772304328","0.0433162950299544","4.20190612399485","3.95369539228952","0.922","0.916","0.028","0.988"
"183","all data","500","-0.5","-0.5","1","2","0.890404658767","3.62677614172313","3.59915321783985","1.82170877353785","3.98899939845464","3.98655238339627","0.958","0.952","0.022","0.964"
"184","summerised","500","-0.5","-0.5","1","2","0.891358999975752","3.62662356345425","3.59910021676986","1.82252700301953","3.98814626638446","3.9864849623186","0.958","0.956","0.022","0.97"
"185","all data","500","-0.5","-0.5","2","1","2.0374456938386","3.64937982359198","3.59191720083704","1.01590877982057","4.0867916805239","3.97853561752239","0.958","0.944","0.018","0.986"
"186","summerised","500","-0.5","-0.5","2","1","2.03942758285974","3.65036057571724","3.59238123247293","1.01789866864526","4.08724709303862","3.97904207777492","0.958","0.944","0.022","0.99"
"187","all data","500","-0.5","0","0","0","-0.41383836425094","7.51219884571933","7.55409227517413","-0.0941807835609931","2.13087946841436","2.1409827042686","0.97","0.962","0.02","0.99"
"188","summerised","500","-0.5","0","0","0","-0.413297712432672","7.51327633000591","7.55302629090634","-0.0940685919893499","2.13125044636419","2.14068189345118","0.97","0.962","0.024","0.992"
"189","all data","500","-0.5","0","1","2","1.02624453940812","7.89187012510525","7.67681110283671","1.99868430404065","2.21624957935248","2.17596369907952","0.934","0.934","0","0.966"
"190","summerised","500","-0.5","0","1","2","1.02543125850516","7.88961547787463","7.67668803507488","1.99853113036019","2.21551812027982","2.17592835521219","0.934","0.932","0","0.968"
"191","all data","500","-0.5","0","2","1","1.79631726055978","7.67759822213234","7.58657648214989","0.932935326898907","2.16636767968708","2.14988587782719","0.952","0.95","0.012","0.988"
"192","summerised","500","-0.5","0","2","1","1.79693496203886","7.67830743642712","7.58468578303043","0.933077426544529","2.16655675616605","2.14935055736222","0.952","0.95","0.016","0.992"
"193","all data","500","-0.5","0.5","0","0","-0.161751017218197","3.72035742643251","3.61726603567921","-0.0660973030067886","1.15934351707731","1.13756638770981","0.942","0.95","0","0.988"
"194","summerised","500","-0.5","0.5","0","0","-0.160859384005791","3.72130620396623","3.61645432988463","-0.0657870316293936","1.15979859699137","1.13731082078455","0.942","0.95","0","0.988"
"195","all data","500","-0.5","0.5","1","2","0.757942247825541","3.72436377035935","3.69828764370252","1.90925230065005","1.17283421024062","1.16477984669645","0.946","0.944","0","0.968"
"196","summerised","500","-0.5","0.5","1","2","0.757898444860356","3.72604829829829","3.69876457630367","1.90951957243373","1.17337320656408","1.16492937800274","0.946","0.944","0","0.97"
"197","all data","500","-0.5","0.5","2","1","1.79553789185138","3.63767341449641","3.64569721172263","0.93882095136092","1.12291081791345","1.14636119513517","0.958","0.96","0","0.982"
"198","summerised","500","-0.5","0.5","2","1","1.79488229486924","3.63866779921807","3.64655920516283","0.938744831289365","1.1228921336325","1.14663202170102","0.958","0.96","0","0.992"
"199","all data","500","-0.5","1","0","0","0.00648957582336292","0.190389326266489","0.2005312228163","0.148926796159403","2.27399324934421","2.36006488537495","0.954","0.962","0","0.986"
"200","summerised","500","-0.5","1","0","0","0.00648092689901919","0.190362219142766","0.200521159965862","0.148606625329714","2.27352080377121","2.35994593727546","0.954","0.962","0","0.994"
"201","all data","500","-0.5","1","1","2","2.00230489022913","0.248998011653335","0.245399479629085","0.992321876262845","2.83310276688504","2.78449555298159","0.024","0.932","0.004","0.97"
"202","summerised","500","-0.5","1","1","2","2.00250005251345","0.249613451629678","0.245400949771837","0.993473812612416","2.83364050894098","2.78451388185139","0.026","0.932","0.004","0.972"
"203","all data","500","-0.5","1","2","1","1.01017259921808","0.23021721605247","0.219602275990411","2.08788599636689","2.64117771500166","2.53449434853769","0.016","0.92","0.006","0.964"
"204","summerised","500","-0.5","1","2","1","1.01062842712695","0.230331786450674","0.219675823872369","2.08901430902799","2.64059613305117","2.53533415679728","0.016","0.92","0.006","0.97"
"205","all data","500","-0.5","2","0","0","0.0280831721561969","1.43265921799484","1.36931938463834","0.000370596902526523","0.0160218115278985","0.0154294850644339","0.93","0.944","0","0.978"
"206","summerised","500","-0.5","2","0","0","0.0280347080327229","1.43169988400294","1.36903582269776","0.000373323563945725","0.016009710434778","0.0154263101436665","0.93","0.944","0","0.984"
"207","all data","500","-0.5","2","1","2","0.0938895709302062","3.31400889942622","2.99735710266119","2.01698245560656","0.0481975888137806","0.0437018363605205","0.916","0.914","0.014","0.972"
"208","summerised","500","-0.5","2","1","2","0.0957131203499526","3.31329170348384","2.99792293095389","2.01746652251237","0.0484764456006971","0.0437102398249444","0.914","0.904","0.014","0.972"
"209","all data","500","-0.5","2","2","1","1.45975154270928","2.32507304657119","2.21551454491533","1.00836206403353","0.0331515179030476","0.0310865269730161","0.93","0.924","0.018","0.962"
"210","summerised","500","-0.5","2","2","1","1.46026609425817","2.3252114573777","2.21516760149499","1.00827543351989","0.0332037987249518","0.0310816529383096","0.928","0.926","0.018","0.964"
"211","all data","500","-0.5","3","0","0","-0.00710453891755127","1.03316083444045","1.00959174732252","-5.43099468776428e-06","0.00173258828184815","0.00173445757461206","0.956","0.952","0","0.99"
"212","summerised","500","-0.5","3","0","0","-0.0072612260374532","1.03305395764681","1.00969424861055","-5.719085105607e-06","0.00173273987887475","0.00173462332667056","0.956","0.952","0.008","0.994"
"213","all data","500","-0.5","3","1","2","-6.99698469237172","9.95297405180946","7.34912738949171","2.043262319239","0.0342422719095836","0.0248682683389155","0.736","0.536","0.012","0.946"
"214","summerised","500","-0.5","3","1","2","-6.98750788401911","9.9477939800487","7.34709232134861","2.04283484940041","0.0347660268135135","0.0248613505368931","0.736","0.55","0.014","0.966"
"215","all data","500","-0.5","3","2","1","-1.35600845584293","4.97803548941726","3.93049564169317","1.02394123674117","0.0166923200849263","0.0131054172417159","0.812","0.548","0.014","0.948"
"216","summerised","500","-0.5","3","2","1","-1.35369699799724","4.97560467667081","3.92971693521553","1.02379050312246","0.0166676089874859","0.0131028710259653","0.812","0.554","0.016","0.964"
"217","all data","500","0","-3","0","0","0.000274921989910421","0.460929838840451","0.470085799770798","-0.0312794554269354","3.77830832611387","3.82640646908625","0.966","0.954","0","0.978"
"218","summerised","500","0","-3","0","0","0.000409874131999689","0.460896995075983","0.469917044562415","-0.0308000255787598","3.77806706688798","3.82502314154946","0.966","0.954","0","0.984"
"219","all data","500","0","-3","1","2","0.994167522666431","0.47213555854234","0.471887593399511","2.05824835657523","3.78470653898818","3.83631879022827","0.956","0.944","0","0.98"
"220","summerised","500","0","-3","1","2","0.994414943396787","0.472057368484796","0.472009014649465","2.05877647418677","3.78486973439556","3.8372952286011","0.954","0.944","0","0.986"
"221","all data","500","0","-3","2","1","1.99964032146224","0.481757907425235","0.472064175438714","1.14940188763587","3.87329913370106","3.8400528110876","0.942","0.934","0","0.972"
"222","summerised","500","0","-3","2","1","1.99893282338185","0.481700006008026","0.471826688484072","1.14922234240219","3.86934933651037","3.83812582815067","0.942","0.934","0","0.976"
"223","all data","500","0","-2","0","0","0.031211151878598","0.618469502579825","0.632822925612181","0.0837553649890568","2.71925119049249","2.78926750861714","0.964","0.962","0.006","0.984"
"224","summerised","500","0","-2","0","0","0.0310237907789228","0.618029124237164","0.632646038074493","0.0830090245223621","2.71742421821025","2.78848632902802","0.964","0.962","0.008","0.988"
"225","all data","500","0","-2","1","2","1.03184690400984","0.673838710249039","0.632396542350576","2.12609979121914","2.88132102929602","2.78679607890943","0.934","0.932","0.008","0.974"
"226","summerised","500","0","-2","1","2","1.03210433552998","0.673782227203256","0.632568510607452","2.12659659307676","2.88112501947654","2.78755894912772","0.934","0.934","0.008","0.982"
"227","all data","500","0","-2","2","1","1.97060044536059","0.651465451105154","0.636559816547245","1.03502124255006","2.75138669663776","2.80654485897357","0.95","0.96","0.012","0.98"
"228","summerised","500","0","-2","2","1","1.97028713242787","0.651430684790731","0.636417624073465","1.03496038053346","2.7508243723132","2.8059183935606","0.95","0.96","0.012","0.98"
"229","all data","500","0","-1","0","0","-0.0363708372280661","1.15266209001895","1.13191612932261","-0.0795509115884737","3.56345901432579","3.46253291207386","0.948","0.944","0","0.984"
"230","summerised","500","0","-1","0","0","-0.0364378544734622","1.1528981411512","1.13192012711478","-0.0799218294642333","3.56440706509608","3.46254544443049","0.948","0.944","0","0.99"
"231","all data","500","0","-1","1","2","0.926169981460928","1.18907693182371","1.13752101625924","1.75705579626669","3.6001363631536","3.47849142586778","0.954","0.956","0.002","0.976"
"232","summerised","500","0","-1","1","2","0.926103677908556","1.18904964986875","1.1375528457487","1.75658216146065","3.59987265823229","3.47858720815432","0.954","0.956","0.002","0.982"
"233","all data","500","0","-1","2","1","2.00184208267779","1.15180888170885","1.14319757238549","1.06235600983379","3.51553823531371","3.49505403229029","0.946","0.95","0.002","0.966"
"234","summerised","500","0","-1","2","1","2.00088724303464","1.15056768453948","1.14277281798523","1.06116129655516","3.5134793646456","3.49374907101984","0.944","0.95","0.002","0.972"
"235","all data","500","0","-0.5","0","0","0.0927023634960672","2.1789287193202","2.1467046591045","0.375388782041127","7.71661425239259","7.57367314392702","0.946","0.95","0.004","0.98"
"236","summerised","500","0","-0.5","0","0","0.092802554818832","2.17920814574043","2.14678503578348","0.37543008793774","7.71745140717064","7.57395245078461","0.946","0.95","0.006","0.99"
"237","all data","500","0","-0.5","1","2","1.03680389714678","2.09621594074158","2.14417402627834","2.10933603388072","7.45928041813934","7.56542710565282","0.966","0.954","0.01","0.986"
"238","summerised","500","0","-0.5","1","2","1.03645406630765","2.09476073410225","2.14378984543649","2.10823311703333","7.45422964328936","7.56406761231338","0.966","0.954","0.01","0.986"
"239","all data","500","0","-0.5","2","1","2.02504910022259","2.16486992446323","2.16016108715455","1.20049183446147","7.59707427075862","7.61957792536389","0.954","0.956","0","0.976"
"240","summerised","500","0","-0.5","2","1","2.02551465352938","2.16482190358076","2.16058948088099","1.20048086730861","7.59718961979697","7.62108248070297","0.956","0.954","0","0.982"
"241","all data","500","0","0","0","0","-0.0463518193067962","1.21370690340266","1.1986063130324","0.0183695526803624","0.508091996177182","0.510566350296865","0.946","0.954","0.02","0.984"
"242","summerised","500","0","0","0","0","-0.0460711889555526","1.21349688070333","1.19862044048286","0.0182644572942921","0.507997599116032","0.510572452087934","0.946","0.954","0.02","0.994"
"243","all data","500","0","0","1","2","0.985954654444028","1.32147154308314","1.33588017479529","1.9956731844847","0.569300568410597","0.576038372108329","0.95","0.948","0.012","0.948"
"244","summerised","500","0","0","1","2","0.985216909733143","1.31990780865748","1.33518797023656","1.994901313468","0.569181601957831","0.57574035355363","0.95","0.948","0.012","0.948"
"245","all data","500","0","0","2","1","1.92017887398765","1.3718806739181","1.28453112773788","1.01751000965697","0.587493690419392","0.55129653770961","0.934","0.936","0.008","0.952"
"246","summerised","500","0","0","2","1","1.91898941878677","1.37075634324976","1.28384517058967","1.01720178789206","0.587462280103236","0.551002888132033","0.934","0.934","0.008","0.952"
"247","all data","500","0","0.5","0","0","-0.181388182697943","1.96068195097804","1.94748087496874","0.17471582805001","2.17336097137095","2.16104395187131","0.942","0.948","0.02","0.986"
"248","summerised","500","0","0.5","0","0","-0.180504350975104","1.95948029958322","1.94726782266141","0.173759691116157","2.172021672435","2.16080946285041","0.942","0.948","0.024","0.996"
"249","all data","500","0","0.5","1","2","0.81140301040898","1.87093001460153","2.02134992604641","2.17971767884947","2.0651263797744","2.24839203644715","0.962","0.964","0.004","0.958"
"250","summerised","500","0","0.5","1","2","0.81106654705947","1.8702485855774","2.02167813959807","2.18076315625263","2.06524665365966","2.24875791865443","0.962","0.964","0.004","0.964"
"251","all data","500","0","0.5","2","1","1.78433625648919","1.95702552760182","2.03428431930723","1.20329107022788","2.16945502397251","2.26123576892005","0.952","0.952","0.004","0.964"
"252","summerised","500","0","0.5","2","1","1.78398722337284","1.95702340325863","2.03412978864786","1.20349664508431","2.16986338430323","2.26106432008252","0.952","0.952","0.004","0.964"
"253","all data","500","0","1","0","0","0.0023965631681305","0.285993742157224","0.280953495567084","-0.00551352497522965","0.951111589918421","0.936961433048905","0.932","0.936","0","0.99"
"254","summerised","500","0","1","0","0","0.00233992630573308","0.285866084189826","0.280867571358409","-0.00523458323910534","0.950824466658895","0.93667526338534","0.932","0.936","0","0.992"
"255","all data","500","0","1","1","2","1.99572642269894","0.358239275231428","0.363062207331912","0.991495613200881","1.15473513551517","1.17381681622909","0.204","0.872","0.012","0.944"
"256","summerised","500","0","1","1","2","1.9950568530064","0.357991359258396","0.362916577286378","0.991054338715716","1.15378647378044","1.17334630835019","0.206","0.872","0.012","0.944"
