"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"38","summerised","500","-3","1","0","0","0.00438761647539192","0.0989165112433193","0.101115123142001","0.0471832380671461","2.7145883207129","2.74020752045387","0.948","0.938","0","0.986"
"39","all data","500","-3","1","1","2","1.99726599749441","0.116621697318978","0.115899711861412","0.809406479695685","3.01488600283972","3.02568116040341","0","0.936","0","0.95"
"40","summerised","500","-3","1","1","2","1.99687944659798","0.116096135888334","0.115871991330118","0.808951098226658","3.01354844747637","3.02494699297787","0","0.934","0","0.954"
"41","all data","500","-3","1","2","1","0.993766973792158","0.11253185209637","0.107914648547101","1.8845158137572","2.87736642472939","2.85673801188273","0","0.94","0","0.942"
"42","summerised","500","-3","1","2","1","0.993943662907671","0.112530509752202","0.107927953414883","1.88441169969869","2.8779990965895","2.85709462860243","0","0.94","0","0.95"
"43","all data","500","-3","2","0","0","0.169570605098067","2.32658478607323","2.19284897006168","0.000867289996362334","0.0109555856463567","0.0107048554844682","0.95","0.94","0","0.982"
"44","summerised","500","-3","2","0","0","0.169203627000189","2.32642452400033","2.19241320130301","0.000868793990209178","0.0109530635074256","0.0107027206425082","0.95","0.94","0","0.984"
"45","all data","500","-3","2","1","2","-0.359275555263052","4.51971097061208","3.97102317736322","2.02378531349011","0.0285014860662088","0.0250694286277318","0.898","0.794","0","0.956"
"46","summerised","500","-3","2","1","2","-0.356786757148906","4.51980197356856","3.97121155056181","2.02399356058304","0.0280056228893301","0.0250708314341579","0.898","0.794","0","0.956"
"47","all data","500","-3","2","2","1","1.40105196487808","3.21095647845996","2.97439151957057","1.01293917607693","0.0196415675990096","0.0183572034747067","0.92","0.856","0","0.948"
"48","summerised","500","-3","2","2","1","1.402519185815","3.21073610371347","2.9742282295978","1.01294284947718","0.0195213575065118","0.0183562604802422","0.92","0.862","0","0.958"
"49","all data","500","-3","3","0","0","0.060499175076505","2.00194712299652","1.91212064581906","-1.56996282602501e-05","0.00138262748508873","0.00142629346785368","0.936","0.948","0","0.972"
"50","summerised","500","-3","3","0","0","0.060191899098692","2.00195960676881","1.91166442078029","-1.59793304288143e-05","0.00138278633774376","0.00142594376808629","0.936","0.948","0","0.984"
"51","all data","500","-3","3","1","2","-8.48791374992053","14.0622160474071","10.6186563237336","2.05714101551075","0.0216555020904703","0.0159188687857583","0.806","0.118","0","0.95"
"52","summerised","500","-3","3","1","2","-8.47676506969798","14.0487079256396","10.6145431968331","2.05645770481386","0.0210088687395698","0.0159126529690812","0.806","0.13","0","0.956"
"53","all data","500","-3","3","2","1","-2.31571247687383","7.53397490418161","5.76099869514305","1.02825985174981","0.0109753821728928","0.00855494871427121","0.834","0.166","0","0.938"
"54","summerised","500","-3","3","2","1","-2.30999762502611","7.53112413343919","5.7632721006201","1.0287365654992","0.0110438185635051","0.00855836608950767","0.834","0.162","0","0.952"
"55","all data","500","-2","-3","0","0","0.312858864604987","7.69659769667693","7.09024468723177","-0.400251003449293","14.1118258210905","13.072322509611","0.928","0.93","0","0.978"
"56","summerised","500","-2","-3","0","0","0.311419338531825","7.69125285139991","7.08922396655558","-0.398217583177552","14.103246826557","13.0704388159833","0.928","0.93","0","0.98"
"57","all data","500","-2","-3","1","2","1.23065836230487","7.10813473181782","7.1014063981983","1.64942158496194","13.0603131881608","13.0949083380824","0.956","0.956","0","0.968"
"58","summerised","500","-2","-3","1","2","1.23041575544706","7.10652610614521","7.10176725561453","1.65078823146566","13.0571207166195","13.095565269463","0.956","0.956","0","0.98"
"59","all data","500","-2","-3","2","1","1.63843599760987","7.5523052602476","7.04172811321748","1.61831685917501","13.9339915254155","12.9839690417677","0.942","0.942","0","0.98"
"60","summerised","500","-2","-3","2","1","1.63969607884175","7.55264439474715","7.04198751777517","1.61543505733244","13.9329614570138","12.9844458405688","0.942","0.942","0","0.984"
"61","all data","500","-2","-2","0","0","-0.314847637953347","3.54155045956521","3.59726020720639","0.680039209540538","6.39103098938666","6.48304929372631","0.952","0.948","0.254","0.978"
"62","summerised","500","-2","-2","0","0","-0.316223930124963","3.5401670692092","3.59747488841691","0.681559912357726","6.38772267109964","6.4834538364772","0.952","0.948","0.276","0.982"
