,type,simulations,p1,p2,Beta1,Beta2,est_Beta1_mean,est_Beta1_sd,est_Beta1_mean_SE,est_Beta2_mean,est_Beta2_sd,est_Beta2_mean_SE,cov_beta1,cov_beta2,fit_correct,fit_set
46,summerised,500,-3,2,1,2,-0.356786757,4.519801974,3.971211551,2.023993561,0.028005623,0.025070831,0.898,0.794,0,0.956
47,all data,500,-3,2,2,1,1.401051965,3.210956478,2.97439152,1.012939176,0.019641568,0.018357203,0.92,0.856,0,0.948
48,summerised,500,-3,2,2,1,1.402519186,3.210736104,2.97422823,1.012942849,0.019521358,0.01835626,0.92,0.862,0,0.958
49,all data,500,-3,3,0,0,0.060499175,2.001947123,1.912120646,-1.57E-05,0.001382627,0.001426293,0.936,0.948,0,0.972
50,summerised,500,-3,3,0,0,0.060191899,2.001959607,1.911664421,-1.60E-05,0.001382786,0.001425944,0.936,0.948,0,0.984
51,all data,500,-3,3,1,2,-8.48791375,14.06221605,10.61865632,2.057141016,0.021655502,0.015918869,0.806,0.118,0,0.95
52,summerised,500,-3,3,1,2,-8.47676507,14.04870793,10.6145432,2.056457705,0.021008869,0.015912653,0.806,0.13,0,0.956
53,all data,500,-3,3,2,1,-2.315712477,7.533974904,5.760998695,1.028259852,0.010975382,0.008554949,0.834,0.166,0,0.938
54,summerised,500,-3,3,2,1,-2.309997625,7.531124133,5.763272101,1.028736565,0.011043819,0.008558366,0.834,0.162,0,0.952
55,all data,500,-2,-3,0,0,0.312858865,7.696597697,7.090244687,-0.400251003,14.11182582,13.07232251,0.928,0.93,0,0.978
56,summerised,500,-2,-3,0,0,0.311419339,7.691252851,7.089223967,-0.398217583,14.10324683,13.07043882,0.928,0.93,0,0.98
57,all data,500,-2,-3,1,2,1.230658362,7.108134732,7.101406398,1.649421585,13.06031319,13.09490834,0.956,0.956,0,0.968
58,summerised,500,-2,-3,1,2,1.230415755,7.106526106,7.101767256,1.650788231,13.05712072,13.09556527,0.956,0.956,0,0.98
59,all data,500,-2,-3,2,1,1.638435998,7.55230526,7.041728113,1.618316859,13.93399153,12.98396904,0.942,0.942,0,0.98
60,summerised,500,-2,-3,2,1,1.639696079,7.552644395,7.041987518,1.615435057,13.93296146,12.98444584,0.942,0.942,0,0.984
61,all data,500,-2,-2,0,0,-0.314847638,3.54155046,3.597260207,0.68003921,6.391030989,6.483049294,0.952,0.948,0.254,0.978
62,summerised,500,-2,-2,0,0,-0.31622393,3.540167069,3.597474888,0.681559912,6.387722671,6.483453836,0.952,0.948,0.276,0.982
63,all data,500,-2,-2,1,2,1.075446655,3.746560425,3.598066169,1.90754216,6.675664126,6.490271703,0.94,0.946,0.224,0.976
64,summerised,500,-2,-2,1,2,1.075934845,3.748382121,3.598993762,1.907496891,6.679788154,6.491963843,0.94,0.946,0.236,0.984
65,all data,500,-2,-2,2,1,2.020949348,3.737771525,3.59644101,0.625263247,6.716130274,6.48717955,0.94,0.948,0.216,0.972
66,summerised,500,-2,-2,2,1,2.021306481,3.738684822,3.595703309,0.623595029,6.717658668,6.485857862,0.94,0.948,0.232,0.974
67,all data,500,-2,-1,0,0,0.045410076,5.692059972,5.977850112,-0.043007714,3.938325865,4.145410467,0.962,0.962,0.02,0.978
68,summerised,500,-2,-1,0,0,0.045545527,5.693959348,5.977496519,-0.043263158,3.939745315,4.145163338,0.962,0.962,0.022,0.988
69,all data,500,-2,-1,1,2,1.1817635,5.822811232,6.004823847,1.847203563,3.99930669,4.16601518,0.972,0.968,0.008,0.978
70,summerised,500,-2,-1,1,2,1.181134558,5.821415784,6.003124962,1.847218796,3.998385637,4.164836826,0.972,0.968,0.008,0.988
71,all data,500,-2,-1,2,1,2.152691113,5.827488672,5.96538418,0.855000764,4.041848585,4.139249331,0.952,0.95,0.02,0.964
72,summerised,500,-2,-1,2,1,2.150901679,5.825111214,5.965048568,0.856114847,4.040933304,4.13902282,0.952,0.95,0.02,0.966
73,all data,500,-2,-0.5,0,0,-0.156652644,3.695798069,3.856391985,0.156452502,2.938477755,3.086397721,0.968,0.96,0.008,0.974
74,summerised,500,-2,-0.5,0,0,-0.157373977,3.692229528,3.855429644,0.156809234,2.935702836,3.085630928,0.968,0.96,0.008,0.976
75,all data,500,-2,-0.5,1,2,0.716176981,3.983674748,3.827988996,2.125472554,3.225518136,3.065491068,0.95,0.942,0.002,0.986
76,summerised,500,-2,-0.5,1,2,0.713492381,3.983201254,3.827693476,2.12737531,3.227382009,3.06525915,0.95,0.94,0.002,0.992
77,all data,500,-2,-0.5,2,1,2.178052707,3.875987168,3.858254932,0.834617131,3.029657466,3.087925124,0.952,0.958,0.01,0.976
78,summerised,500,-2,-0.5,2,1,2.176083077,3.873734018,3.858018319,0.835885062,3.028514818,3.087739039,0.952,0.958,0.012,0.98
79,all data,500,-2,0,0,0,0.160451226,2.739444648,2.798135355,0.025698493,0.614962157,0.634529122,0.966,0.96,0.006,0.988
