"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"Answer_deg2",all data,500,0,1,1,2,1.99572642269894,0.358239275231428,0.363062207331912,0.991495613200881,1.15473513551517,1.17381681622909,0.204,0.872,0.012,0.944
"Answer_deg2_summ",summerised,500,0,1,1,2,1.9950568530064,0.357991359258396,0.362916577286378,0.991054338715716,1.15378647378044,1.17334630835019,0.206,0.872,0.012,0.944
